food_item_id,food_item_name,water_g,energy_kcal,protein_g,lipid_g,carbs_g,fiber_td_g,sugar_g,calcium_mg,iron_mg,cholestrl_mg,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,is_active
49,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",74.51,191,2.96,19.1,2.82,0,3.67,91,0.05,59,30,1 fl oz,15,1 tbsp,1
50,"CREAM,FLUID,LT WHIPPING",63.5,292,2.17,30.91,2.96,0,2.96,69,0.03,111,120,"1 cup,  whipped",239,"1 cup, fluid (yields 2 cups whipped)",1
51,"CREAM,FLUID,HVY WHIPPING",57.81,340,2.84,36.08,2.74,0,2.92,66,0.1,113,120,"1 cup,  whipped",238,"1 cup, fluid (yields 2 cups whipped)",1
52,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",61.33,257,3.2,22.22,12.49,0,8,101,0.05,76,60,1 cup,3,1 tbsp,1
53,"CREAM,SOUR,RED FAT,CULTURED",80.14,135,2.94,12,4.26,0,0.16,104,0.07,39,15,1 tbsp,242,1 cup,1
54,"CREAM,SOUR,CULTURED",73.07,198,2.44,19.35,4.63,0,3.41,101,0.07,59,12,1 tbsp,230,1 cup,1
55,EGGNOG,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,59,254,1 cup,31.8,1 fl oz,1
56,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,5,12,1 tbsp,235,1 cup,1
57,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",87.67,63,3.33,3.46,4.74,0,,128,0.05,2,244,1 cup,976,1 quart,1
58,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",87.73,63,3.33,3.4,4.74,0,4.74,128,0.05,2,244,1 cup,30.5,1 fl oz,1
59,"CHEESE,AMERICAN,NONFAT OR FAT FREE",65.47,126,21.05,0,10.53,0,5.26,789,0,26,19,1 serving,,,1
60,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",77.27,136,1,9.97,11.38,0,11.38,9,0.03,0,15,"1 container,  individual",30,1 fl oz,1
61,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",77.27,136,1,9.97,11.38,0,,9,0.03,0,15,"1 container,  individual",120,.5 cup,1
62,"CREAM SUBSTITUTE,POWDERED",2.98,529,2.48,32.92,59.29,0,7.77,2,0.26,0,94,1 cup,2,1 tsp,1
63,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,52.54,0,52.54,17,0.03,0,43,1.5 oz,1.3,"1 portion,  amount to make 1 tbsp",1
64,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",65.74,194,3.61,12.72,17.13,0,17.13,90,0.04,10,80,1 cup,4,1 tbsp,1
65,"DESSERT TOPPING,PRESSURIZED",60.37,264,0.98,22.3,16.07,0,16.07,5,0.02,0,70,1 cup,4,1 tbsp,1
66,"DESSERT TOPPING,SEMI SOLID,FRZ",50.21,318,1.25,25.31,23.05,0,23.05,6,0.12,0,75,1 cup,4,1 tbsp,1
67,"SOUR CRM,IMITN,CULTURED",71.15,208,2.4,19.52,6.63,0,6.63,3,0.39,0,28.35,1 oz,230,1 cup,1
68,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",88.18,61,1.75,3.41,6.16,0,,33,0.39,0,244,1 cup,976,1 quart,1
69,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,3.15,3.25,4.8,0,5.05,113,0.03,10,244,1 cup,30.5,1 fl oz,1
70,"MILK,PRODUCER,FLUID,3.7% MILKFAT",87.69,64,3.28,3.66,4.65,0,,119,0.05,14,244,1 cup,976,1 quart,1
71,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.21,50,3.3,1.98,4.8,0,5.06,120,0.02,8,244,1 cup,30.5,1 fl oz,1
72,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",88.86,51,3.48,1.92,4.97,0,,128,0.05,8,245,1 cup,980,1 quart,1
73,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",87.71,56,3.95,1.98,5.49,0,5.26,143,0.06,8,246,1 cup,984,1 quart,1
74,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.92,42,3.37,0.97,4.99,0,5.2,125,0.03,5,244,1 cup,30.5,1 fl oz,1
75,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",89.81,43,3.48,0.97,4.97,0,,128,0.05,4,245,1 cup,980,1 quart,1
76,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",88.74,48,3.93,1.17,5.52,0,,142,0.06,4,246,1 cup,984,1 quart,1
77,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,4.96,0,5.09,122,0.03,2,245,1 cup,30.6,1 fl oz,1
78,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",90.38,37,3.57,0.25,5.02,0,5.02,129,0.05,2,245,1 cup,30.6,1 fl oz,1
79,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",89.36,41,3.96,0.25,5.56,0,,143,0.06,2,246,1 cup,984,1 quart,1
80,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40,3.31,0.88,4.79,0,4.79,116,0.05,4,245,1 cup,30.6,1 fl oz,1
81,"MILK,LO NA,FLUID",88.2,61,3.1,3.46,4.46,0,4.46,101,0.05,14,244,1 cup,30.5,1 fl oz,1
82,"MILK,DRY,WHL,W/ ADDED VITAMIN D",2.47,496,26.32,26.71,38.42,0,38.42,912,0.47,97,32,.25 cup,128,1 cup,1
83,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,51.98,0,51.98,1257,0.32,20,30,.25 cup,120,1 cup,1
84,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,52.19,0,52.19,1231,0.31,18,68,1 cup,91,"1 envelope,  (1-1/3 cup)",1
85,"MILK,DRY,NONFAT,CA RED",4.9,354,35.5,0.2,51.8,0,,280,0.32,2,28.35,1 oz,113,.25 lb,1
86,"MILK,BUTTERMILK,DRIED",2.97,387,34.3,5.78,49,0,49,1184,0.3,69,30,.25 cup,120,1 cup,1
87,"MILK,CND,COND,SWTND",27.16,321,7.91,8.7,54.4,0,54.4,284,0.19,34,38.2,1 fl oz,306,1 cup,1
88,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",74.04,134,6.81,7.56,10.04,0,10.04,261,0.19,29,31.5,1 fl oz,252,1 cup,1
89,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",79.4,78,7.55,0.2,11.35,0,11.35,290,0.29,4,31.9,1 fl oz,256,1 cup,1
90,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",82.3,83,3.17,3.39,10.34,0.8,9.54,112,0.24,12,250,1 cup,31.2,1 fl oz,1
91,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76,2.99,1.9,12.13,0.7,9.55,109,0.24,8,250,1 cup,31.2,1 fl oz,1
92,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",84.91,62,3.46,1,9.86,0.1,9.94,129,0.23,5,250,1 cup,1000,1 quart,1
93,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.45,77,3.52,2.34,10.74,1,9.66,114,0.42,8,250,1 cup,31.2,1 fl oz,1
94,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",87.03,69,3.56,4.14,4.45,0,4.45,134,0.05,11,30.5,1 fl oz,244,1 cup,1
95,"MILK,HUMAN,MATURE,FLUID",87.5,70,1.03,4.38,6.89,0,6.89,32,0.03,14,30.8,1 fl oz,246,1 cup,1
96,"MILK,INDIAN BUFFALO,FLUID",83.39,97,3.75,6.89,5.18,0,,169,0.12,19,244,1 cup,976,1 quart,1
97,"MILK,SHEEP,FLUID",80.7,108,5.98,7,5.36,0,,193,0.1,27,245,1 cup,980,1 quart,1
98,"MILK SHAKES,THICK CHOC",72.2,119,3.05,2.7,21.15,0.3,20.85,132,0.31,11,28.4,1 fl oz,300,"1 container,  (10.6 oz)",1
99,"MILK SHAKES,THICK VANILLA",74.45,112,3.86,3.03,17.75,0,17.75,146,0.1,12,28.4,1 fl oz,313,"1 container,  (11 oz)",1
100,"WHEY,ACID,FLUID",93.42,24,0.76,0.09,5.12,0,5.12,103,0.08,1,246,1 cup,984,1 quart,1
101,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,73.45,0,73.45,2054,1.24,3,57,1 cup,2.9,1 tbsp,1
102,"WHEY,SWEET,FLUID",93.12,27,0.85,0.36,5.14,0,5.14,47,0.06,2,246,1 cup,984,1 quart,1
103,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,74.46,0,74.46,796,0.88,6,145,1 cup,7.5,1 tbsp,1
104,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,4.66,0,4.66,121,0.05,13,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",1
105,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,5.25,1.55,7.04,0,7.04,183,0.08,6,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",1
106,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,5.73,0.18,7.68,0,7.68,199,0.09,2,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",1
107,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79,85,4.93,1.25,13.8,0,13.8,171,0.07,5,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",1
108,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,18.64,0,18.64,138,0.06,5,170,"1 container,  (6 oz)",125,"1 container,  (4.4 oz)",1
109,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,4.37,1.08,19.05,0,19.05,152,0.07,4,170,"1 container,  (6 oz)",245,"1 cup,  (8 fl oz)",1
110,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",74.1,105,4.86,1.41,18.6,0,,169,0.07,6,170,"1 container,  (6 oz)",113,".5 container,  (4 oz)",1
111,"EGG,WHL,RAW,FRSH",76.15,143,12.56,9.51,0.72,0,0.37,56,1.75,372,50,1 large,56,1 extra large,1
112,"EGG,WHITE,RAW,FRESH",87.57,52,10.9,0.17,0.73,0,0.71,7,0.08,0,33,1 large,243,1 cup,1
113,"EGG,YOLK,RAW,FRSH",52.31,322,15.86,26.54,3.59,0,0.56,129,2.73,1085,17,1 large,243,1 cup,1
114,"EGG,YOLK,RAW,FRZ,PAST",56.44,296,15.53,25.6,0.81,0,0.16,134,4.55,991,28.35,1 oz,227,.5 lb,1
115,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",51.23,307,13.87,22.82,10.95,0,10.3,124,3.7,917,28.35,1 oz,227,.5 lb,1
116,"EGG,WHL,CKD,FRIED",69.47,196,13.61,14.84,0.83,0,0.4,62,1.89,401,46,1 large,,,1
117,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.12,0,1.12,50,1.19,373,136,"1 cup, chopped",8.5,1 tbsp,1
118,"EGG,WHOLE,COOKED,OMELET",76.13,154,10.57,11.66,0.64,0,0.31,48,1.48,313,15,1 tbsp,61,1 large,1
119,"EGG,WHL,CKD,POACHED",75.85,143,12.51,9.47,0.71,0,0.37,56,1.75,370,50,1 large,,,1
120,"EGG,WHL,CKD,SCRMBLD",76.4,149,9.99,10.98,1.61,0,1.39,66,1.31,277,61,1 large,13.7,1 tbsp,1
121,"EGG,WHL,DRIED",2.78,592,48.05,43.9,1.13,0,0.56,244,7.2,1630,85,"1 cup,  sifted",5,1 tbsp,1
122,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.87,615,48.17,43.95,2.38,0,,222,8.28,2017,85,"1 cup,  sifted",5,1 tbsp,1
123,"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",14.62,351,76.92,0.04,4.17,0,0,83,0.23,0,28.35,1 oz,227,.5 lb,1
124,"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",8.54,376,82.4,0.04,4.47,0,0,89,0.24,0,107,"1 cup,  sifted",7,1 tbsp,1
125,"EGG,YOLK,DRIED",3.08,669,33.63,59.13,0.66,0,0.23,289,9.56,2307,67,"1 cup,  sifted",4,1 tbsp,1
126,"EGG,DUCK,WHOLE,FRESH,RAW",70.83,185,12.81,13.77,1.45,0,0.93,64,3.85,884,70,1 egg,,,1
127,"EGG,GOOSE,WHOLE,FRESH,RAW",70.43,185,13.87,13.27,1.35,0,0.94,60,3.64,852,144,1 egg,,,1
128,"EGG,QUAIL,WHOLE,FRESH,RAW",74.35,158,13.05,11.09,0.41,0,0.4,64,3.65,844,9,1 egg,,,1
129,"EGG,TURKEY,WHL,FRSH,RAW",72.5,171,13.68,11.88,1.15,0,,99,4.1,933,79,1 egg,,,1
130,"EGG SUBSTITUTE,POWDER",3.86,444,55.5,13,21.8,0,21.8,326,3.16,572,9.9,.35 oz,20,.7 oz,1
131,"BUTTER,WITHOUT SALT",17.94,717,0.85,81.11,0.06,0,0.06,24,0.02,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,1
132,"CHEESE,PARMESAN,SHREDDED",25,415,37.86,27.34,3.41,0,0.9,1253,0.87,72,5,1 tbsp,,,1
133,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,4.96,0,5.09,122,0.03,2,245,1 cup,980,1 quart,1
134,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",87.71,56,3.95,1.98,5.49,0,,143,0.06,8,245,1 cup,980,1 quart,1
135,"MILK,CND,EVAP,W/ VIT A",74.04,134,6.81,7.56,10.04,0,,261,0.19,29,31.5,1 fl oz,126,.5 cup,1
136,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,51.98,0,51.98,1257,0.32,20,30,.25 cup,120,1 cup,1
137,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,52.19,0,52.19,1231,0.31,18,68,1 cup,91,"1 envelope,  (1-1/3 cup)",1
138,"CHEESE,GOAT,HARD TYPE",29.01,452,30.52,35.59,2.17,0,2.17,895,1.88,105,28.35,1 oz,,,1
139,"CHEESE,GOAT,SEMISOFT TYPE",45.52,364,21.58,29.84,0.12,0,0.12,298,1.62,79,28.35,1 oz,,,1
140,"CHEESE,GOAT,SOFT TYPE",60.75,264,18.52,21.08,0,0,0,140,1.9,46,28.35,1 oz,,,1
141,"EGG,YOLK,RAW,FRZ,SALTED,PAST",50.87,275,14.07,22.93,1.77,0,0.07,113,3.4,912,28.35,1 oz,227,.5 lb,1
142,"CHEESE SUB,MOZZARELLA",47.36,248,11.47,12.22,23.67,0,23.67,610,0.4,0,113,"1 cup, shredded",28.35,1 oz,1
143,"CHEESE SAU,PREP FROM RECIPE",66.86,197,10.33,14.92,5.48,0.1,0.19,311,0.35,38,30,2 tbsp,243,1 cup,1
144,"CHEESE,MEXICAN,QUESO ANEJO",38.06,373,21.44,29.98,4.63,0,4.63,680,0.47,105,132,"1 cup, crumbled",28.35,1 oz,1
145,"CHEESE,MEXICAN,QUESO ASADERO",42.16,356,22.6,28.26,2.87,0,2.87,661,0.51,105,132,"1 cup, diced",113,"1 cup, shredded",1
146,"CHEESE,MEXICAN,QUESO CHIHUAHUA",39.13,374,21.56,29.68,5.56,0,5.56,651,0.47,105,132,"1 cup, diced",113,"1 cup, shredded",1
147,"CHEESE,LOFAT,CHEDDAR OR COLBY",63.1,173,24.35,7,1.91,0,0.52,415,0.42,21,132,"1 cup, diced",113,"1 cup, shredded",1
148,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",38.98,398,24.35,32.62,1.91,0,0.49,703,0.72,100,132,"1 cup, diced",113,"1 cup, shredded",1
149,"EGG,WHL,RAW,FRZ,PAST",75.81,147,12.33,9.95,1.01,0,0.25,62,1.74,372,28,1 oz,,,1
150,"EGG,WHITE,RAW,FRZ,PAST",88.17,48,10.2,0,1.04,0,0.25,8,0.04,0,28,1 oz,,,1
151,"EGG,WHITE,DRIED",5.8,382,81.1,0,7.8,0,5.4,62,0.15,0,28,1 oz,,,1
152,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",89.21,50,3.3,1.98,4.8,0,5.06,120,0.02,8,246,1 cup,984,1 quart,1
153,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",89.92,42,3.37,0.97,4.99,0,5.2,125,0.03,5,244,1 cup,976,1 quart,1
154,"SOUR CREAM,REDUCED FAT",71,181,7,14.1,7,0,0.3,141,0.06,35,12,1 tablespoon,230,1 cup,1
155,"SOUR CREAM,LIGHT",78.1,136,3.5,10.6,7.1,0,0.22,141,0.07,35,12,1 tablespoon,230,1 cup,1
156,"SOUR CREAM,FAT FREE",80.6,74,3.1,0,15.6,0,0.39,125,0,9,12,1 tablespoon,230,1 cup,1
157,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",48.2,282,27.2,18.3,2,0,0.58,905,0.13,56,113,"1 cup, shredded",,,1
158,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",87.43,43,3.86,0.18,7.5,0,7.5,143,0.12,2,170,"1 container,  (6 oz)",,,1
159,"PARMESAN CHS TOPPING,FAT FREE",8.6,370,40,5,40,0,1.5,800,5,20,5,1 tablespoon,,,1
160,"CHEESE,CREAM,FAT FREE",71.87,105,15.69,1,7.66,0,5.48,351,0.19,12,18,1 tbsp,,,1
161,"YOGURT,CHOC,NONFAT MILK",71.57,112,3.53,0,23.53,1.2,14.97,88,0.42,1,170,"1 container,  (6 oz)",,,1
162,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,51.5,276,12,21,9.2,0.3,6.7,359,0.19,75,33,2 tbsp,,,1
163,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,51.5,215,16.3,9.5,16.2,0.2,8.2,418,0.16,35,35,2 tbsp,,,1
164,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,58,148,22.7,1,11.7,0.2,6.7,712,0.05,16,21,1 slice,,,1
165,KRAFT VELVEETA PAST PROCESS CHS SPRD,45.8,303,16.3,22,9.8,0,8.1,466,0.18,80,28,1 oz,,,1
166,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,51.3,222,19.6,10.6,11.8,0,8.5,574,0.14,42,28,1 oz,,,1
167,KRAFT BREAKSTONE'S RED FAT SOUR CRM,76.2,152,4.5,12,6.5,0.1,6.4,161,0.06,50,31,2 tbsp,,,1
168,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,77.7,91,4.7,1.3,15.1,0,7.2,141,0.05,9,32,2 tbsp,,,1
169,"CREAM,HALF & HALF,FAT FREE",86,59,2.6,1.4,9,0,5,96,0,5,29,2 tbsp,484,1 pint,1
170,REDDI WIP FAT FREE WHIPPED TOPPING,66.44,149,3,5,25,0.4,16,108,0.03,16,4,1 tablespoon,75,1 cup,1
171,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",82.17,78,2.99,1.9,12.13,0.7,9.55,194,0.24,8,250,1 cup,31.2,1 fl oz,1
